HOLDER,SUBJECT
INFINITYLTL ENGINEERED COMPOUNDS,INLUBE INX-POMC-12130
SOLARA ACTIVE PHARMA SCIENCES LTD,DABIGATRAN ETEXILATE MESYLATE
HONOUR LAB LTD,APIXABAN
EMS CHEMIE NORTH AMERICA INC,GRILAMID TR 90 NATURAL
CURIA NEW YORK INC,OMACETAXINE MEPESUCCINATE
SOLARA ACTIVE PHARMA SCIENCES LTD,LURASIDONE HYDROCHLORIDE
HUNAN OCEAN CAPSULE CO LTD,EMPTY CAPSULES
AVID BIOSERVICES INC,CONTRACT BIOTECHNOLOGY PRODUCT MANUFACTURING FACILITY
BACHEM AG,LIRAGLUTIDE DRUG SUBSTANCE
DAVID MICHAEL AND CO INC,NATURAL AND ARTIFICIAL FLAVOR RASBERRY TYPE 11687
PREMIUM POLYMERS LTD,"INDUCTION SEALING WAD, LINERS & GASKETS"
AURORIUM LLC,CHROMIUM (III) PICOLINATE
NYPRO INC,BDP BAI ACTUATOR/ MAIN BODY ASSEMBLY
NYPRO INC,BDP BAI ACTUATOR/ FORCE HOLDING UNIT ASSEMBLY
SINOPHARM WEIQIDA PHARMACEUTICAL CO LTD,7-AMINOCEPHALOSPORANIC ACID
TIANJIN WEIJIE PHARMACEUTICAL CO LTD,OSPEMIFENE
TEVA PHARMACEUTICAL INDUSTRIES LTD,PERAMPANEL
TEVA PHARMACEUTICAL INDUSTRIES LTD,ICATIBANT ACETATE
HUBEI ENORAY BIOPHARMACEUTICAL CO LTD,HEPARIN SODIUM CRUDE
K K ALUFOIL,PRINTED/PLAIN ALUMINIUM POLY FOILS AND BLISTER FOILS
TEVA PHARMACEUTICAL INDUSTRIES LTD,APIXABAN
TERUMO CORP,PLAJEX™ READY-TO-FILL LUER LOCK PLASTIC SYRINGES
TERUMO CORP,PLUNGER STOPPERS
BASELL POLIOLEFINE ITALIA SRL,PURELL HP548N
DAVID MICHAEL AND CO INC,NATURAL ORANGE CITRUS FLAVOR WONF #37700
TIANJIN WEIJIE PHARMACEUTICAL CO LTD,ESLICARBAZEPINE ACETATE
MACLEODS PHARMACEUTICALS LTD,LINEZOLID
ACS DOBFAR SPA,SODIUM CARBONATE STERILE LYOPHILIZED
ACS DOBFAR SPA,MEROPENEM TRIHYDRATE STERILE
ACS DOBFAR SPA,MEROPENEM TRIHYDRATE NON STERILE
HETERO LABS LTD,REGORAFENIB
INTAS PHARMACEUTICALS LTD,TERIFLUNOMIDE
NAVINTA LLC,DS121 DRUG SUBTANCE
PIRAMAL HEALTHCARE CANADA LTD,IPLLJ8 DRUG SUBSTANCE
SUDEEP PHARMA PVT LTD,TRIBASIC CALCIUM PHOSPHATE
CERBIOS PHARMA SA,LEVOFOLINIC ACID CRYSTALLINE
ICON CLINICAL RESEARCH LLC,CLOZAPINE PRODUCT MANUFACTURERS GROUP (CPMG)
OLON SPA,DIHYDROERGOTAMINE MESYLATE
GLOCHEM INDUSTRIES LTD,TOLCAPONE USP
APOTEX PHARMACHEM INDIA PVT LTD,APIXABAN
KUNSHAN WISEPAC DESICCANT CO LTD,WISECAN II DESICCANT CANISTER
PERLEN PACKAGING (SUZHOU) CO LTD,PHARMACEUTICAL PACKAGING
DYNIC USA CORP,THERMAL TRANSFER RIBBON HL49
VERRETUBEX INDUSTRIES SAS,AMPOULES VIALS AND CARTRIDGES
VIRUPAKSHA ORGANICS LTD,TRAMADOL HYDROCHLORIDE
DYNIC USA CORP,THERMAL TRANSFER RIBBON S20
NATCO PHARMA LTD,TERIFLUNOMIDE
BIDDLE SAWYER PHARMA LLC,DOFETILIDE USP
NIPPON CARBIDE INDUSTRIES CO INC,NIKASOL PHARMACEUTICAL ADDITIVE SERIES
JANSSEN RESEARCH AND DEVELOPMENT LLC,METHYLPHENIDATE HYDROCHLORIDE DRUG SUBSTANCE (PROCESS I)
MORTON SALT INC,USP POTASSIUM CHLORIDE
JOST CHEMICAL CO,MANGANESE SULFATE MONOHYDRATE
JOST CHEMICAL CO,POTASSIUM PHOSPHATE DIBASIC
JOST CHEMICAL CO,POTASSIUM PHOSPHATE MONOBASIC
HENAN DONGTAI PHARM CO LTD,DICLOFENAC POTASSIUM
AVRA LABORATORIES PRIVATE LTD,IRINOTECAN HYDROCHLORIDE USP
WANBURY LTD,PREGABALIN
ZHEJIANG JIUZHOU PHARMACEUTICAL CO LTD,GEFITINIB
HUHTAMAKI RONSBERG,PRIMARY PACKAGING (STICKPACK) FOR SOLID ORAL DRUG PRODUCTS AND POWDERS (E.G. CRISTALLINE LACTULOSE)
PRESSPART MANUFACTURING LTD,PLASMA SURFACE TREATMENT OF ALUMINIUM MDI CANS
NENTER AND CO INC,MONTELUKAST SODIUM INTERMEDIATE MK5
JENKEM TECHNOLOGY CO LTD,4ARM PEG SUCCINIMIDYL SUCCINATE (PENTAERYTHRITOL) MW 10000
SHENG ZOU PHARMACEUTICAL PACKAGING AND DEVICE TECHNOLOGY (CHINA) CO LTD,SHENG ZOU FORMULATION A16(A16B) RUBBER STOPPER
SHENG ZOU PHARMACEUTICAL PACKAGING AND DEVICE TECHNOLOGY (CHINA) CO LTD,SHENG ZOU FORMULATION C19(C19B) RUBBER STOPPER
SHENG ZOU PHARMACEUTICAL PACKAGING AND DEVICE TECHNOLOGY (CHINA) CO LTD,SHENG ZOU FORMULATION K03(K03B) RUBBER STOPPER
BIOPHORE INDIA PHARMACEUTICALS PVT LTD,ICATIBANT ACETATE
ZYDUS LIFESCIENCES LTD,PERAMPANEL
DYNIC USA CORP,HF24 WHITE THERMAL TRANSFER RIBBON
OTSUKA PHARMACEUTICAL CO LTD,OPA-15406 DRUG SUBSTANCE
VIVEK POLYPLAST INDIA PVT LTD,PLASTIC BOTTLES CONTAINERS AND CLOSURES FOR PHARMA PACKAGING
ZYDUS LIFESCIENCES LTD,TOFACITINIB CITRATE
DYNIC USA CORP,HF24 SILVER THERMAL TRANSFER RIBBON
PAXXUS INC,RPP# 36-3209 & RPP# 36-33210 & RPP# 36-3210A
CORAL DRUGS PRIVATE LTD,BUDESONIDE
EVERLIGHT CHEMICAL INDUSTRIAL CORP,TREPROSTINIL DIOLAMINE
FINAR LTD,N-HEPTANE HP
TEVA PHARMACEUTICAL INDUSTRIES LTD,PACLITAXEL SEMISYNTHETIC (9-DHB)
WAVELENGTH ENTERPRISES LTD,EFINACONAZOLE
BIOPHORE INDIA PHARMACEUTICALS PVT LTD,DOTA
RAKS PHARMA PVT LTD,CLOBAZAM
RAKS PHARMA PVT LTD,SOLIFENACIN SUCCINATE
CURIA MISSOURI INC,REGADENOSON
SIGNA SA DE CV,CAPECITABINE USP
HETERO LABS LTD,DOLUTEGRAVIR SODIUM
EMS-CHEMIE NORTH AMERICA INC,GRILAMID TR 55 LX VIOLET 4521 LW
JANSSEN RESEARCH AND DEVELOPMENT LLC,METHYLPHENIDATE HYDROCHLORIDE DRUG SUBSTANCE (PROCESS II)
DYNIC USA CORP,HF29 WHITE THERMAL TRANSFER RIBBON
SIGMA-ALDRICH PRODUCTION GMBH,MEBROFENIN
OLON SPA,POMALIDOMIDE
TAIHUA NATURAL PLANT PHARMACEUTICAL CO LTD,HOMOHARRINGTONINE
AMOLI ORGANICS (A DIVISION OF UMEDICA LABORATORIES PVT LTD),CHLORTHALIDONE USP
ALEMBIC PHARMACEUTICALS LTD,BOSUTINIB
TEVA PHARMACEUTICAL INDUSTRIES LTD,ALVIMOPAN DIHYDRATE
SINTENOVO SA DE CV,TOFACITINIB CITRATE
ZAKLADY FARMACEUTYCZNE POLPHARMA SA,DAPAGLIFLOZIN
KOLON LIFE SCIENCE INC,ROSUVASTATIN CALCIUM
MSN LABORATORIES PRIVATE LTD,IBRUTINIB (AMORPHOUS)
MEDICHEM MANUFACTURING MALTA LTD,MICAFUNGIN SODIUM
MEDICHEM MANUFACTURING MALTA LTD,SUNITINIB MALATE
APITORIA PHARMA PRIVATE LTD,DOFETILIDE USP
CODING PRODUCTS,SV-54808
INTAS PHARMACEUTICALS LTD,RIVAROXABAN FORM- I (MICRONIZED)
MSN LIFE SCIENCES PRIVATE LTD,ALVIMOPAN DIHYDRATE
NEULAND LABORATORIES LTD,LABETALOL HYDROCHLORIDE USP
MACLEODS PHARMACEUTICALS LTD,PRASUGREL HYDROCHLORIDE
MACLEODS PHARMACEUTICALS LTD,CARVEDILOL PHOSPHATE
SETE ESPANOLA DE TUBOS Y ENVASES SL,ALUMINIUM TUBES
LOBA FEINCHEMIE GMBH,"3,4-DIAMINOPYRIDINE"
HETERO DRUGS LTD,SEVELAMER CARBONATE
JIANGSU HENGRUI PHARMACEUTICALS CO LTD,SEVOFLURANE USP
WISCONSIN INSTITUTE FOR MEDICAL RESEARCH,[18F] DCFPYL FOR INJECTION
ADAPA FLEXIBLES DENMARK SLAGELSE AS,DANAEXTRA 15-52 COMPOUND PACKAGING MATERIAL
WANBURY LTD,PAROXETINE MESYLATE
GLENMARK LIFE SCIENCES LTD,OSPEMIFENE
SYNBIAS PHARMA AG,NELARABINE
HETERO LABS LTD,BORTEZOMIB (FORM-II)
HONOUR LAB LTD,ALOGLIPTIN BENZOATE
SHANDONG ANXIN PHARMACEUTICAL CO LTD,TOFACITINIB CITRATE (NON-STERILE API)
MACFARLAN SMITH LTD,METHYLPHENIDATE HYDROCHLORIDE
BERRY GLOBAL,PRODUCT 15161-28
FONA INTERNATIONAL INC,"915.0964U STRAWBERRY FLAVOR, NAT WONF"
FONA INTERNATIONAL INC,"828.1003U CITRUS BLEND FLAVOR, ART"
AMBIOPHARM INC,TEDUGLUTIDE NON-STERILE
FLEX MIDDLE EAST FZE,BOPET FILM PRODUCTS-FLEXPET™ (F-WAP-B) & FLEXMETPET™
DANAPAK FLEXIBLES AS,DANAEXTRA 15-53 COMPOUND PACKAGING MATERIAL
SCINOPHARM TAIWAN LTD,ABIRATERONE ACETATE USP
M F PACKAGING,"COATED/PLAIN/PRINTED ALUMINIUM FOIL, GLASSINE PAPER & LAMINATES, PRINTED/PLAIN ALU-ALU FOIL, PRINTED/PLAIN CHILD RESISTANT FOIL (CR FOIL), AND FLEXIBLE PACKAGING"
MSN LIFE SCIENCES PRIVATE LTD,DARUNAVIR ETHANOLATE
ROBERTET FLAVORS INC,S.D. CHERRY FLAVOR ARTIFICIAL NV-20629
ADARE PHARMACEUTICALS INC,AR18 - APT5033 EXTENDED RELEASE ORALLY DISINTEGRATING TABLETS
CHENGDU YACHT BIOTECHNOLOGY CO LTD,DAPTOMYCIN
TIANISH LABORATORIES PRIVATE LTD,NEPAFENAC
TIANISH LABORATORIES PRIVATE LTD,NEPAFENAC (STERILE)
TIANISH LABORATORIES PRIVATE LTD,RALTEGRAVIR POTASSIUM USP (PROCESS-II)
TIANISH LABORATORIES PRIVATE LTD,DARUNAVIR (PROCESS-II)
TIANISH LABORATORIES PRIVATE LTD,PALIPERIDONE PALMITATE (STERILE)
MACLEODS PHARMACEUTICALS LTD,CYCLOSERINE
TORRENT PHARMACEUTICALS LTD,RASAGILINE MESYLATE
AURISCO PHARMACEUTICAL CO LTD,9-(2-PHOSPHONYLMETHOXYPROPYL) ADENINE (PMPA)
PFIZER INC,PEARL RIVER ASEPTIC MANUFACTURING FACILITY
FONA INTERNATIONAL INC,"936.2266U TASTE MODIFIER FLAVOR, NAT"
GRANULES INDIA LTD,"FEXOFENADINE HYDROCHLORIDE, USP"
C-SQUARED PHARMA LTD,ATROPINE SULFATE USP
SHENZHEN BONA PHARMA TECHNOLOGY CO LTD,HDPE BOTTLES FOR ORAL SOLID PREPARATION
AMOLI ORGANICS (A DIVISION OF UMEDICA LABORATORIES PVT LTD),TADALAFIL USP
NEULAND LABORATORIES LTD,RIVAROXABAN
SUNBIO INC,"4-ARM POLYETHYLENE GLYCOL AMINE 10,000"
ELKEM SILICONES USA CORP,SILBIONE® BIOMEDICAL LSR D100 SERIES
INDOCO REMEDIES LTD,ALOGLIPTIN BENZOATE
INDOCO REMEDIES LTD,APIXABAN
WUXI APPTEC INC,"STERILE PROCESSING FACILITY AT PHILADEPHIA, PA"
CERBIOS PHARMA SA,CALCIPOTRIENE MONOHYDRATE
THINQ PHARMA-CRO LTD,CIPROFLOXACIN HYDROCHLORIDE USP
SUN PHARMACEUTICAL INDUSTRIES LTD,TOFACITINIB CITRATE
DSM NUTRITIONAL PRODUCTS LTD,ASCORBIC ACID
MICRO LABS LTD,APIXABAN
MICRO LABS LTD,TOFACITINIB CITRATE
ALKEM LABORATORIES LTD,DIMETHYL FUMARATE
EXCELLA GMBH AND CO KG,MASITINIB MESYLATE
AMPACET CORP,4300230-N YELLOW SMC PP MB
HENAN LIHUA PHARMACEUTICAL CO LTD,PREDNISOLONE USP (PROCESS I)
HETERO LABS LTD,"LEVETIRACETAM (FORM-1), PROCESS-II"
HETERO LABS LTD,QUETIAPINE FUMARATE
CATALENT PHARMA SOLUTIONS LLC,SOFTGELS [OET-10259014]
ZYDUS LIFESCIENCES LTD,DIMETHYL FUMARATE
ZYDUS LIFESCIENCES LTD,APIXABAN
FONA INTERNATIONAL INC,915.2224U STRAWBERRY CHEESECAKE TYPE FLAVOR NAT & ART
FONA INTERNATIONAL INC,"826.2208U CHOCOLATE FLAVOR, NAT & ART"
FONA INTERNATIONAL INC,"822.0251U CARAMEL FLAVOR, NAT WONF"
DSM NUTRITIONAL PRODUCTS LTD,THIAMINE HYDROCHLORIDE
WATSON PHARMA PRIVATE LTD,APIXABAN
HETERO LABS LTD,LOPINAVIR (PROCESS-II)
AMPACET CORP,4600891-N BLUE SMC PP MB
CURIA NEW YORK INC,CANNABIDIOL DRUG SUBSTANCE
JIANGSU RUNQI NEW MATERIALS CO LTD,PA/AL/PVC COLD-FORMED FOIL FOR PHARMACEUTICAL PACKAGING
ASYMCHEM LABORATORIES TIANJIN CO LTD,TOREMIFENE CITRATE
AMNEAL PHARMACEUTICALS LLC,ARTIFICIAL TUTTI FRUITTI FLVP FT-5103
AMNEAL PHARMACEUTICALS LLC,NATURAL/ARTIFICIAL BERRY FLAVOR FY-6884
AMNEAL PHARMACEUTICALS LLC,NATURAL/ARTIFICIAL ORANGE EXTRACT FLAVOR FZ-4297
SCINOPHARM TAIWAN LTD,ENZALUTAMIDE
SIBO G DOO,CHILD RESISTANT CLOSURES SIBO
MEDICHEM MANUFACTURING MALTA LTD,APIXABAN
DOCTORPACK INDIA PVT LTD,ORAL DOSING SYRINGE
JIANGSU HANLIN PHARMACEUTICAL PACKAGE TECHNOLOGY CO LTD,POLYAMIDE/ALUMINUM/PVC SOLID MEDICINAL COMPOSITE PLATE
INTAS PHARMACEUTICALS LTD,PERAMPANEL
MSN LIFE SCIENCES PRIVATE LTD,COBICISTAT ON SILICON DIOXIDE
DSM NUTRITIONAL PRODUCTS LTD,FOLIC ACID
CHEMWERTH INC,ISOPROTERENOL HCL USP
SINTENOVO SA DE CV,APIXABAN
UNICHEM LABORATORIES LTD,TOFACITINIB CITRATE
DOCTORPACK INDIA PVT LTD,COP/COC/PP/HDPE VIAL
WAKOL GMBH,WAKOL D 3990 SEALING COMPOUND (100) / WAKOL D 3992 SEALING COMPOUND (102 LV)
SPECGX LLC,DEXMETHYLPHENIDATE HYDROCHLORIDE
NATIONAL CENTER FOR NATURAL PRODUCTS RESEARCH,CANNABIDIOL
SICHUAN HUILI INDUSTRY CO LTD,PVC/ACLAR/PVC COMPOSITE SHEET FOR PACKAGING OF SOLID DOSAGE FORMS
SICHUAN HUILI INDUSTRY CO LTD,PAPER/PET/AL COMPOSITE SHEET FOR PACKAGING OF SOLID DOSAGE FORMS
SICHUAN HUILI INDUSTRY CO LTD,PAPER/AL COMPOSITE SHEET FOR PACKAGING OF SOLID DOSAGE FORMS
FONA INTERNATIONAL INC,807.0787U MIXED BERRY FLAVOR NAT WONF
DR REDDYS LABORATORIES LTD,PREGABALIN USP
FONA INTERNATIONAL INC,"856.0307U CONCORD GRAPE FLAVOR, NAT & ART"
FONA INTERNATIONAL INC,852.0108U FRUIT PUNCH FLAVOR NAT & ART
FONA INTERNATIONAL INC,932.0032U N-C WINTERGREEN FLAVOR NAT WONF
UNION QUIMICO FARMACEUTICA SA (UQUIFA SA),ESOMEPRAZOLE SODIUM
HETERO LABS LTD,POMALIDOMIDE
MITSUBISHI GAS CHEMICAL CO INC,OXYCAPT™ VIALS FOR PHARMACEUTICAL USE
SANTAPET POLYMERS LTD,"INJECTION BLOW MOULDED BOTTLES FOR EYE DROPPERS, NASAL SPRAYERS AND TABLETS CONTAINERS FOR PHARMACEUTICALS"
DELMAR CHEMICALS INC,SOLIFENACIN SUCCINATE
MSN LIFE SCIENCES PRIVATE LTD,ICATIBANT ACETATE
DSM NUTRITIONAL PRODUCTS LTD,DL-ALPHA-TOCOPHERYL ACETATE
ADARE PHARMACEUTICALS INC,APT-5032 EXTENDED RELEASE CAPSULES
BASILDON CHEMICAL CO LTD,SIMETHICONE USP (BASIDON CHEMICALS SIMETHICONE ANTIFOAM C100LV)
SILILABEL SA,BLISTER MATERIALS
CURIUM US LLC,LEU DERIVED SODIUN MOLYBDATE (99MO) SOLUTION
ZYDUS LIFESCIENCES LTD,NITISINONE
TAPI NL BV,PREGABALIN D9333
ALKEM LABORATORIES LTD,METHYLPHENIDATE HYDROCHLORIDE USP
MSN LABORATORIES PRIVATE LTD,BOSUTINIB MONOHYDRATE (FORM-I)
ZHEJIANG ZHOUSHAN PUTUO XINXING PHARMAS CO LTD,GLUCOSAMINE HYDROCHLORIDE USP
OLON SPA,TOFACITINIB CITRATE
ALCHEM INTERNATIONAL PRIVATE LTD,HYOSCINE EP (SCOPOLAMINE)
TAKASAGO INTERNATIONAL CORP,MENTHOL MICRON™ TIX -11533
MOREPEN LABORATORIES LTD,FEXOFENADINE HYDROCHLORIDE USP
LIVZON GROUP FUZHOU FUXING PHARMACEUTICAL CO LTD,GENTAMICIN SULFATE
LUBRIZOL ADVANCED MATERIALS INC,PATHWAY HYDROPHILIC POLYMER FAMILY
MEDILUX LABORATORIES PVT LTD,DEFERASIROX
SYNTHON BV,POMALIDOMIDE
MAXCARE DEVICE,"SILICONE, TUBING, BRAIDED HOSE PIPES, INFLATABLE GASKETS, DIAPHRAGM, 'O' RING, GASKETS, SIEVES & SCREEN"
CNSG ANHUI HONG SIFANG CO LTD,POVIDONE K15
CNSG ANHUI HONG SIFANG CO LTD,POVIDONE K90
CNSG ANHUI HONG SIFANG CO LTD,CROSPOVIDONE
CNSG ANHUI HONG SIFANG CO LTD,POVIDONE-IODINE
CNSG ANHUI HONG SIFANG CO LTD,POVIDONE K30
APITORIA PHARMA PRIVATE LTD,APIXABAN
CHILLIES EXPORT HOUSE LTD,CAPSAICIN USP
HARMAN FINOCHEM LTD,ISOPROTERENOL HYDROCHLORIDE USP
SUPRIYA LIFESCIENCE LTD,ALBUTEROL SULFATE USP
SHANDONG ANHONG PHARMACEUTICAL CO LTD,ERTAPENEM SODIUM
TECHNO PACKS,BLISTER/LAMINATED FOILS (PLAIN/PRINTED) & LAMINATE FILMS FOR PHARMA PACKAGING
LONZA AG,NIACINAMIDE FOR ORAL USE
APOTEX PHARMACHEM INDIA PVT LTD,RANOLAZINE
TREIBACHER INDUSTRIE AG,GADOLINIUM OXIDE
GLAND PHARMA LTD,BETADEX SULFOBUTYL ETHER SODIUM USP- NF
DAVID MICHAEL AND CO INC,NATURAL AND ARTIFICIAL ORANGE FLAVOR #50956
GLAND PHARMA LTD,BETAMETHASONE ACETATE USP STERILE
HETERO DRUGS LTD,AMLODIPINE BESYLATE (PROCESS-II)
CHEMWERTH INC,DOFETILIDE USP
INHANCE TECHNOLOGIES LLC,FLUORINATED CONTAINERS AND COMPONENTS
ALCHEM INTERNATIONAL PRIVATE LTD,SCOPOLAMINE HYDROBROMIDE USP
CIPLA LTD,PALIPERIDONE USP
DSM NUTRITIONAL PRODUCTS LTD,DEXPANTHENOL
ALCHEM INTERNATIONAL PRIVATE LTD,DIGOXIN USP
ANTIBIOTICOS DE LEON SLU,AMOXICILLIN TRIHYDRATE
AVIENT CORP,EM10027398XX
ECLATIN AG,INTERNAL PROTECTIVE LACQUER BO-A2263/S2 BPA FREE
NICHIBAN CO LTD,YS RESIN PX 1150NM
DR REDDYS LABORATORIES LTD,DAPAGLIFLOZIN (AMORPHOUS)
AURISCO PHARMACEUTICAL CO LTD,TENOFOVIR DISOPROXIL FUMARATE
RL FINE CHEM PVT LTD,CHLORPROMAZINE HYDROCHLORIDE
DR REDDYS LABORATORIES LTD,APREMILAST (FORM B)
EVONIK CORP,BIODEGRADABLE POLYMER EXCIPIENTS
PIRAMAL HEALTHCARE CANADA LTD,AGB DRUG SUBSTANCE
TIANISH LABORATORIES PRIVATE LTD,DARUNAVIR ETHANOLATE
GALACTIC SA,SODIUM (S)-LACTATE SOLUTION
CIPLA LTD,DACLATASVIR DIHYDROCHLORIDE
EVONIK OPERATIONS GMBH,EUDRAGIT E PO READYMIX
WEENER EMPIRE PLASTICS PVT LTD,PET (POLYETHYLENE TEREPHTHALATE) BOTTLES
PARTICLE MEASURING SYSTEMS,BIOLAZ® REAL-TIME MICROBIAL MONITOR
ZHEJIANG XIANJU PHARMACEUTICAL CO LTD,"TESTOSTERONE CYPIONATE NON- STERILE, BULK DRUG SUBSTANCE"
OTECH CORP,TUBING AND FILM/SHEET BASED ON THERMOPLASTIC COMPOUNDS
3M DRUG DELIVERY SYSTEMS,3M COTRAN™ 9699 TAN NONWOVEN TAPE
LONZA GREENWOOD LLC,EMPTY HARD GELATIN CAPSULE SHELLS
TEVA PHARMACEUTICAL INDUSTRIES LTD,TERGURIDE HYDROGENMALEATE
WAVELENGTH ENTERPRISES LTD,IBRUTINIB
SYMBIOTEC PHARMALAB PRIVATE LTD,HYDROXYPROGESTERONE CAPROATE USP
CREST CELLULOSE PRIVATE LIMITED,MICROCRYSTALLINE CELLULOSE (CELLUCREST)
TOYO INK CO LTD,LIOALPHA S SERIES
CELANESE CANADA ULC,"ETHYLENE VINYL ACETATE COPOLYMER, VITALDOSE® K2797.X01"
SAGAR RUBBER PRODUCTS PVT LTD,ALU-PLASTIC SEAL MADE OF ALUMINIUM AND PLASTIC
ENVEE DRUGS PVT LTD,CLOBETASOL PROPIONATE USP
MACLEODS PHARMACEUTICALS LTD,CANAGLIFLOZIN
MACLEODS PHARMACEUTICALS LTD,ATOMOXETINE HYDROCHLORIDE
MACLEODS PHARMACEUTICALS LTD,NITROFURANTOIN ANHYDROUS (MACROCRYSTAL)
MACLEODS PHARMACEUTICALS LTD,PERPHENAZINE
MACLEODS PHARMACEUTICALS LTD,SITAGLIPTIN PHOSPHATE (MONOHYDRATE)
ZHEJIANG CHARIOTEER PHARMACEUTICAL CO LTD,PENCICLOVIR (API)
MSN LABORATORIES PRIVATE LTD,IBRUTINIB (FORM-A)
AVANTI POLAR LIPIDS INC,"1,2 -DIPALMITOYL-SN-GLYCERO-3-PHOSPHOCHOLINE (DPPC) (730355)"
SASOL GERMANY GMBH,POLYETHYLENE GLYCOL (LIPOXOL MED SP)
NORAMCO LLC,BUPRENORPHINE
MICROTROL STERILISATION SERVICES PVT LTD,ETHYLENE OXIDE STERILISATION
ZAKLADY FARMACEUTYCZNE POLPHARMA SA,PRASUGREL HYDROCHLORIDE
ZAKLADY FARMACEUTYCZNE POLPHARMA SA,PRASUGREL MALEATE
FONA INTERNATIONAL INC,915.0348U N-C STRAWBERRY FLAVOR ART
BRIGHTGENE BIO-MEDICAL TECHNOLOGY CO LTD,"FONDAPARINUX SODIUM (NON-STERILE, API)"
ROVI PHARMA INDUSTRIAL SERVICES SA,"STERILE WATER FOR INJECTION, 5-10 ML PREFILLED SYRINGE"
FONA INTERNATIONAL INC,856.2049U FONATECH® GRAPE FLAVOR ART
CELANESE CANADA ULC,ETHYLENE VINYL ACETATE COPOLYMER VITALDOSE® K2769.X01
TIANISH LABORATORIES PRIVATE LTD,CANAGLIFLOZIN
MSN LIFE SCIENCES PRIVATE LTD,ELVITEGRAVIR (FORM-II)
CIPLA LTD,RILPIVIRINE HYDROCHLORIDE
SIGMAPHARM LABORATORIES LLC,APIXABAN AMORPHOUS (6.58%)
EMCURE PHARMACEUTICALS LTD,PHYTONADIONE USP
URSATEC GMBH,COMFORT-SYSTEM
CELANESE CANADA ULC,"ETHYLENE VINYL ACETATE COPOLYMER, VITALDOSE® K2770.X01"
QENOS PTY LTD,ALKATHENE® XDS34
SINOPHARM WEIQIDA PHARMACEUTICAL CO LTD,6-AMINOPENICILLANIC ACID
MURLI KRISHNA PHARMA PVT LTD,ORLISTAT PELLETS 50.0% W/W
CENTAUR PHARMACEUTICALS PRIVATE LTD,ZOLPIDEM TARTRATE USP
HEENA ROTO PRINTS,ALUMINIUM BLISTER FOIL (COATED/PRINTED)
ABELEI INC,188A10 NATURAL RASPBERRY TYPE FLAVOR
JAYCOT INDUSTRIES,PURIFIED COTTON (ABSORBENT COTTON) ROLLS AND COILS
JAYCOT INDUSTRIES,PURIFIED RAYON/RAYON COILS & POLYESTER COILS
AMUL POLYMERS,"PLAIN & PLATINUM CURED SILICONE TUBING, BRAIDED HOSE, GASKETS, 'O' RINGS, SHEETS, SLEEVES ETC."
ALKEM LABORATORIES LTD,ESOMEPRAZOLE MAGNESIUM TRIHYDRATE USP
SUN PHARMACEUTICAL INDUSTRIES LTD,APIXABAN
HIKMA PHARMACEUTICALS PLC,METHYLPREDNISOLONE ACETATE USP (STERILE)
DIVIS LABORATORIES LTD,PREGABALIN (ALTERNATIVE PROCESS)
AVIENT CORP,CC10233864XX
TAIWAN FOREVER INDUSTRY CO LTD,ES-807 CHILD RESISTANT PACKAGING ALUMINUM FOIL
JIANGSU JIAERKE PHARMACEUTICALS GROUP CORP LTD,PROGESTERONE
KAKEN PHARMACEUTICAL CO LTD,KP-470
BRISTOL MYERS SQUIBB CO,LENALIDOMIDE REMS HOSTED SYSTEM
HISAMITSU PHARMACEUTICAL CO INC,"HP-5000, TOPICAL PATCH"
JIANGSU JOYGLORY PHARMACEUTICAL CO LTD,AMBRISENTAN
HYBIO PHARMACEUTICAL CO LTD,GANIRELIX ACETATE NON-STERILE BULK DRUG SUBSTANCE
APITORIA PHARMA PRIVATE LTD,EZETIMIBE USP
ZHEJIANG AUSUN PHARMACEUTICAL CO LTD,LUBIPROSTONE
RAKS PHARMA PVT LTD,DARUNAVIR
RAKS PHARMA PVT LTD,VARDENAFIL HYDROCHLORIDE TRIHYDRATE USP
ARAB MEDICAL CONTAINERS CO LTD,28MM HDPE PACKAGING SYSTEM
ENALTEC LABS PRIVATE LTD,MIDODRINE HYDROCHLORIDE USP
CORNING INC,PHARMACEUTICAL GLASS CONTAINERS
AMPACET CORP,1602313-N TRANS BLUE SMC PE MB
SARACA LABORATORIES LTD,GABAPENTIN USP
APOTEX PHARMACHEM INDIA PVT LTD,PERINDOPRIL ARGININE
BIOPHORE INDIA PHARMACEUTICALS PVT LTD,ISOPROTERENOL HYDROCHLORIDE
INEOS STYROLUTION GROUP GMBH,ZYLAR® RESINS
BIOPHORE INDIA PHARMACEUTICALS PVT LTD,ETHACRYNATE SODIUM
BIOPHORE INDIA PHARMACEUTICALS PVT LTD,CLOMIPRAMINE HYDROCHLORIDE
ADL BIOPHARMA SLU,AMPICILLIN TRIHYDRATE
SANOK RUBBER CO SA,RUBBER PRODUCTS FOR PHARMACEUTICAL PURPOSES
CIPLA LTD,DEFERASIROX
FONA INTERNATIONAL INC,819.0029U BUTTERSCOTCH TYPE FLAVOR NAT & ART
RELIANCE INDUSTRIES LTD,REPOL H110MAS
SYMBIOTEC PHARMALAB PRIVATE LTD,HYDROCORTISONE ACETATE USP
TORRENT PHARMACEUTICALS LTD,DIMETHYL FUMARATE USP
CALTRON CLAYS AND CHEMICALS PVT LTD,CORAL CALCIUM CARBONATE
